scBarcode	Set	Origi	Type
human1_lib1.final_cell_0044	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0045	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0046	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0047	Donor1	acinar	acinar
human1_lib1.final_cell_0048	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0049	Donor1	delta	delta
human1_lib1.final_cell_0050	Donor1	beta	beta
human1_lib1.final_cell_0051	Donor1	delta	delta
human1_lib1.final_cell_0052	Donor1	beta	beta
human1_lib1.final_cell_0053	Donor1	acinar	acinar
human1_lib1.final_cell_0054	Donor1	beta	beta
human1_lib1.final_cell_0055	Donor1	beta	beta
human1_lib1.final_cell_0056	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0057	Donor1	beta	beta
human1_lib1.final_cell_0058	Donor1	beta	beta
human1_lib1.final_cell_0059	Donor1	beta	beta
human1_lib1.final_cell_0060	Donor1	beta	beta
human1_lib1.final_cell_0061	Donor1	ductal	ductal
human1_lib1.final_cell_0062	Donor1	alpha	alpha
human1_lib1.final_cell_0063	Donor1	beta	beta
human1_lib1.final_cell_0064	Donor1	ductal	ductal
human1_lib1.final_cell_0065	Donor1	ductal	ductal
human1_lib1.final_cell_0066	Donor1	acinar	acinar
human1_lib1.final_cell_0067	Donor1	alpha	alpha
human1_lib1.final_cell_0068	Donor1	beta	beta
human1_lib1.final_cell_0069	Donor1	delta	delta
human1_lib1.final_cell_0070	Donor1	alpha	alpha
human1_lib1.final_cell_0071	Donor1	beta	beta
human1_lib1.final_cell_0072	Donor1	beta	beta
human1_lib1.final_cell_0073	Donor1	beta	beta
human1_lib1.final_cell_0074	Donor1	delta	delta
human1_lib1.final_cell_0075	Donor1	beta	beta
human1_lib1.final_cell_0076	Donor1	beta	beta
human1_lib1.final_cell_0077	Donor1	delta	delta
human1_lib1.final_cell_0078	Donor1	beta	beta
human1_lib1.final_cell_0079	Donor1	beta	beta
human1_lib1.final_cell_0080	Donor1	beta	beta
human1_lib1.final_cell_0081	Donor1	beta	beta
human1_lib1.final_cell_0082	Donor1	beta	beta
human1_lib1.final_cell_0083	Donor1	beta	beta
human1_lib1.final_cell_0084	Donor1	acinar	acinar
human1_lib1.final_cell_0085	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0086	Donor1	delta	delta
human1_lib1.final_cell_0087	Donor1	delta	delta
human1_lib1.final_cell_0088	Donor1	beta	beta
human1_lib1.final_cell_0089	Donor1	beta	beta
human1_lib1.final_cell_0090	Donor1	beta	beta
human1_lib1.final_cell_0091	Donor1	beta	beta
human1_lib1.final_cell_0092	Donor1	beta	beta
human1_lib1.final_cell_0093	Donor1	beta	beta
human1_lib1.final_cell_0094	Donor1	beta	beta
human1_lib1.final_cell_0095	Donor1	beta	beta
human1_lib1.final_cell_0096	Donor1	beta	beta
human1_lib1.final_cell_0097	Donor1	beta	beta
human1_lib1.final_cell_0098	Donor1	delta	delta
human1_lib1.final_cell_0099	Donor1	delta	delta
human1_lib1.final_cell_0100	Donor1	beta	beta
human1_lib1.final_cell_0101	Donor1	delta	delta
human1_lib1.final_cell_0102	Donor1	alpha	alpha
human1_lib1.final_cell_0103	Donor1	alpha	alpha
human1_lib1.final_cell_0104	Donor1	delta	delta
human1_lib1.final_cell_0105	Donor1	beta	beta
human1_lib1.final_cell_0106	Donor1	beta	beta
human1_lib1.final_cell_0107	Donor1	beta	beta
human1_lib1.final_cell_0108	Donor1	beta	beta
human1_lib1.final_cell_0109	Donor1	acinar	acinar
human1_lib1.final_cell_0110	Donor1	delta	delta
human1_lib1.final_cell_0111	Donor1	beta	beta
human1_lib1.final_cell_0112	Donor1	beta	beta
human1_lib1.final_cell_0113	Donor1	delta	delta
human1_lib1.final_cell_0114	Donor1	beta	beta
human1_lib1.final_cell_0115	Donor1	beta	beta
human1_lib1.final_cell_0116	Donor1	beta	beta
human1_lib1.final_cell_0117	Donor1	delta	delta
human1_lib1.final_cell_0118	Donor1	beta	beta
human1_lib1.final_cell_0119	Donor1	delta	delta
human1_lib1.final_cell_0120	Donor1	beta	beta
human1_lib1.final_cell_0121	Donor1	beta	beta
human1_lib1.final_cell_0122	Donor1	beta	beta
human1_lib1.final_cell_0123	Donor1	epsilon	epsilon
human1_lib1.final_cell_0124	Donor1	beta	beta
human1_lib1.final_cell_0125	Donor1	beta	beta
human1_lib1.final_cell_0126	Donor1	beta	beta
human1_lib1.final_cell_0127	Donor1	delta	delta
human1_lib1.final_cell_0128	Donor1	beta	beta
human1_lib1.final_cell_0129	Donor1	delta	delta
human1_lib1.final_cell_0130	Donor1	beta	beta
human1_lib1.final_cell_0131	Donor1	alpha	alpha
human1_lib1.final_cell_0132	Donor1	alpha	alpha
human1_lib1.final_cell_0133	Donor1	beta	beta
human1_lib1.final_cell_0134	Donor1	acinar	acinar
human1_lib1.final_cell_0135	Donor1	alpha	alpha
human1_lib1.final_cell_0136	Donor1	beta	beta
human1_lib1.final_cell_0137	Donor1	beta	beta
human1_lib1.final_cell_0138	Donor1	alpha	alpha
human1_lib1.final_cell_0139	Donor1	beta	beta
human1_lib1.final_cell_0140	Donor1	delta	delta
human1_lib1.final_cell_0141	Donor1	beta	beta
human1_lib1.final_cell_0142	Donor1	beta	beta
human1_lib1.final_cell_0143	Donor1	beta	beta
human1_lib1.final_cell_0144	Donor1	beta	beta
human1_lib1.final_cell_0145	Donor1	beta	beta
human1_lib1.final_cell_0146	Donor1	delta	delta
human1_lib1.final_cell_0147	Donor1	beta	beta
human1_lib1.final_cell_0148	Donor1	ductal	ductal
human1_lib1.final_cell_0149	Donor1	ductal	ductal
human1_lib1.final_cell_0150	Donor1	beta	beta
human1_lib1.final_cell_0151	Donor1	beta	beta
human1_lib1.final_cell_0152	Donor1	beta	beta
human1_lib1.final_cell_0153	Donor1	beta	beta
human1_lib1.final_cell_0154	Donor1	delta	delta
human1_lib1.final_cell_0155	Donor1	beta	beta
human1_lib1.final_cell_0156	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0157	Donor1	beta	beta
human1_lib1.final_cell_0158	Donor1	beta	beta
human1_lib1.final_cell_0159	Donor1	alpha	alpha
human1_lib1.final_cell_0160	Donor1	beta	beta
human1_lib1.final_cell_0161	Donor1	alpha	alpha
human1_lib1.final_cell_0162	Donor1	beta	beta
human1_lib1.final_cell_0163	Donor1	gamma	gamma
human1_lib1.final_cell_0164	Donor1	beta	beta
human1_lib1.final_cell_0165	Donor1	beta	beta
human1_lib1.final_cell_0166	Donor1	beta	beta
human1_lib1.final_cell_0167	Donor1	beta	beta
human1_lib1.final_cell_0168	Donor1	beta	beta
human1_lib1.final_cell_0169	Donor1	beta	beta
human1_lib1.final_cell_0170	Donor1	beta	beta
human1_lib1.final_cell_0171	Donor1	acinar	acinar
human1_lib1.final_cell_0172	Donor1	beta	beta
human1_lib1.final_cell_0173	Donor1	acinar	acinar
human1_lib1.final_cell_0174	Donor1	beta	beta
human1_lib1.final_cell_0175	Donor1	beta	beta
human1_lib1.final_cell_0176	Donor1	beta	beta
human1_lib1.final_cell_0177	Donor1	acinar	acinar
human1_lib1.final_cell_0178	Donor1	delta	delta
human1_lib1.final_cell_0179	Donor1	beta	beta
human1_lib1.final_cell_0180	Donor1	delta	delta
human1_lib1.final_cell_0181	Donor1	beta	beta
human1_lib1.final_cell_0182	Donor1	acinar	acinar
human1_lib1.final_cell_0183	Donor1	alpha	alpha
human1_lib1.final_cell_0184	Donor1	beta	beta
human1_lib1.final_cell_0185	Donor1	alpha	alpha
human1_lib1.final_cell_0186	Donor1	beta	beta
human1_lib1.final_cell_0187	Donor1	alpha	alpha
human1_lib1.final_cell_0188	Donor1	endothelial	endothelial
human1_lib1.final_cell_0189	Donor1	beta	beta
human1_lib1.final_cell_0190	Donor1	beta	beta
human1_lib1.final_cell_0191	Donor1	alpha	alpha
human1_lib1.final_cell_0192	Donor1	delta	delta
human1_lib1.final_cell_0193	Donor1	beta	beta
human1_lib1.final_cell_0194	Donor1	beta	beta
human1_lib1.final_cell_0195	Donor1	delta	delta
human1_lib1.final_cell_0196	Donor1	beta	beta
human1_lib1.final_cell_0197	Donor1	gamma	gamma
human1_lib1.final_cell_0198	Donor1	alpha	alpha
human1_lib1.final_cell_0199	Donor1	beta	beta
human1_lib1.final_cell_0200	Donor1	beta	beta
human1_lib1.final_cell_0201	Donor1	delta	delta
human1_lib1.final_cell_0202	Donor1	alpha	alpha
human1_lib1.final_cell_0203	Donor1	ductal	ductal
human1_lib1.final_cell_0204	Donor1	beta	beta
human1_lib1.final_cell_0205	Donor1	alpha	alpha
human1_lib1.final_cell_0206	Donor1	beta	beta
human1_lib1.final_cell_0207	Donor1	ductal	ductal
human1_lib1.final_cell_0208	Donor1	alpha	alpha
human1_lib1.final_cell_0209	Donor1	ductal	ductal
human1_lib1.final_cell_0210	Donor1	beta	beta
human1_lib1.final_cell_0211	Donor1	beta	beta
human1_lib1.final_cell_0212	Donor1	alpha	alpha
human1_lib1.final_cell_0213	Donor1	beta	beta
human1_lib1.final_cell_0214	Donor1	beta	beta
human1_lib1.final_cell_0215	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0216	Donor1	ductal	ductal
human1_lib1.final_cell_0217	Donor1	ductal	ductal
human1_lib1.final_cell_0218	Donor1	endothelial	endothelial
human1_lib1.final_cell_0219	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0220	Donor1	beta	beta
human1_lib1.final_cell_0221	Donor1	delta	delta
human1_lib1.final_cell_0222	Donor1	gamma	gamma
human1_lib1.final_cell_0223	Donor1	beta	beta
human1_lib1.final_cell_0224	Donor1	beta	beta
human1_lib1.final_cell_0225	Donor1	beta	beta
human1_lib1.final_cell_0226	Donor1	alpha	alpha
human1_lib1.final_cell_0227	Donor1	beta	beta
human1_lib1.final_cell_0228	Donor1	beta	beta
human1_lib1.final_cell_0229	Donor1	delta	delta
human1_lib1.final_cell_0230	Donor1	ductal	ductal
human1_lib1.final_cell_0231	Donor1	beta	beta
human1_lib1.final_cell_0232	Donor1	delta	delta
human1_lib1.final_cell_0233	Donor1	delta	delta
human1_lib1.final_cell_0234	Donor1	beta	beta
human1_lib1.final_cell_0235	Donor1	delta	delta
human1_lib1.final_cell_0236	Donor1	beta	beta
human1_lib1.final_cell_0237	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0238	Donor1	beta	beta
human1_lib1.final_cell_0239	Donor1	beta	beta
human1_lib1.final_cell_0240	Donor1	delta	delta
human1_lib1.final_cell_0241	Donor1	beta	beta
human1_lib1.final_cell_0242	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0243	Donor1	beta	beta
human1_lib1.final_cell_0244	Donor1	acinar	acinar
human1_lib1.final_cell_0245	Donor1	alpha	alpha
human1_lib1.final_cell_0246	Donor1	delta	delta
human1_lib1.final_cell_0247	Donor1	beta	beta
human1_lib1.final_cell_0248	Donor1	alpha	alpha
human1_lib1.final_cell_0249	Donor1	beta	beta
human1_lib1.final_cell_0250	Donor1	endothelial	endothelial
human1_lib1.final_cell_0251	Donor1	delta	delta
human1_lib1.final_cell_0252	Donor1	delta	delta
human1_lib1.final_cell_0253	Donor1	beta	beta
human1_lib1.final_cell_0254	Donor1	beta	beta
human1_lib1.final_cell_0255	Donor1	delta	delta
human1_lib1.final_cell_0256	Donor1	gamma	gamma
human1_lib1.final_cell_0257	Donor1	alpha	alpha
human1_lib1.final_cell_0258	Donor1	beta	beta
human1_lib1.final_cell_0259	Donor1	beta	beta
human1_lib1.final_cell_0260	Donor1	beta	beta
human1_lib1.final_cell_0261	Donor1	ductal	ductal
human1_lib1.final_cell_0262	Donor1	delta	delta
human1_lib1.final_cell_0263	Donor1	alpha	alpha
human1_lib1.final_cell_0264	Donor1	beta	beta
human1_lib1.final_cell_0265	Donor1	gamma	gamma
human1_lib1.final_cell_0266	Donor1	beta	beta
human1_lib1.final_cell_0267	Donor1	beta	beta
human1_lib1.final_cell_0268	Donor1	beta	beta
human1_lib1.final_cell_0269	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0270	Donor1	alpha	alpha
human1_lib1.final_cell_0271	Donor1	delta	delta
human1_lib1.final_cell_0272	Donor1	alpha	alpha
human1_lib1.final_cell_0273	Donor1	endothelial	endothelial
human1_lib1.final_cell_0274	Donor1	alpha	alpha
human1_lib1.final_cell_0275	Donor1	delta	delta
human1_lib1.final_cell_0276	Donor1	beta	beta
human1_lib1.final_cell_0277	Donor1	gamma	gamma
human1_lib1.final_cell_0278	Donor1	ductal	ductal
human1_lib1.final_cell_0279	Donor1	alpha	alpha
human1_lib1.final_cell_0280	Donor1	alpha	alpha
human1_lib1.final_cell_0281	Donor1	delta	delta
human1_lib1.final_cell_0282	Donor1	beta	beta
human1_lib1.final_cell_0283	Donor1	beta	beta
human1_lib1.final_cell_0284	Donor1	ductal	ductal
human1_lib1.final_cell_0285	Donor1	alpha	alpha
human1_lib1.final_cell_0286	Donor1	beta	beta
human1_lib1.final_cell_0287	Donor1	delta	delta
human1_lib1.final_cell_0288	Donor1	macrophage	macrophage
human1_lib1.final_cell_0289	Donor1	endothelial	endothelial
human1_lib1.final_cell_0290	Donor1	beta	beta
human1_lib1.final_cell_0291	Donor1	beta	beta
human1_lib1.final_cell_0292	Donor1	beta	beta
human1_lib1.final_cell_0293	Donor1	beta	beta
human1_lib1.final_cell_0294	Donor1	beta	beta
human1_lib1.final_cell_0295	Donor1	beta	beta
human1_lib1.final_cell_0296	Donor1	beta	beta
human1_lib1.final_cell_0297	Donor1	beta	beta
human1_lib1.final_cell_0298	Donor1	beta	beta
human1_lib1.final_cell_0299	Donor1	beta	beta
human1_lib1.final_cell_0300	Donor1	beta	beta
human1_lib1.final_cell_0301	Donor1	gamma	gamma
human1_lib1.final_cell_0302	Donor1	endothelial	endothelial
human1_lib1.final_cell_0303	Donor1	beta	beta
human1_lib1.final_cell_0304	Donor1	beta	beta
human1_lib1.final_cell_0305	Donor1	beta	beta
human1_lib1.final_cell_0306	Donor1	delta	delta
human1_lib1.final_cell_0307	Donor1	beta	beta
human1_lib1.final_cell_0308	Donor1	gamma	gamma
human1_lib1.final_cell_0309	Donor1	epsilon	epsilon
human1_lib1.final_cell_0310	Donor1	delta	delta
human1_lib1.final_cell_0311	Donor1	beta	beta
human1_lib1.final_cell_0312	Donor1	beta	beta
human1_lib1.final_cell_0313	Donor1	gamma	gamma
human1_lib1.final_cell_0314	Donor1	beta	beta
human1_lib1.final_cell_0315	Donor1	beta	beta
human1_lib1.final_cell_0316	Donor1	beta	beta
human1_lib1.final_cell_0317	Donor1	beta	beta
human1_lib1.final_cell_0318	Donor1	beta	beta
human1_lib1.final_cell_0319	Donor1	endothelial	endothelial
human1_lib1.final_cell_0320	Donor1	beta	beta
human1_lib1.final_cell_0321	Donor1	delta	delta
human1_lib1.final_cell_0322	Donor1	alpha	alpha
human1_lib1.final_cell_0323	Donor1	epsilon	epsilon
human1_lib1.final_cell_0324	Donor1	alpha	alpha
human1_lib1.final_cell_0325	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0326	Donor1	alpha	alpha
human1_lib1.final_cell_0327	Donor1	alpha	alpha
human1_lib1.final_cell_0328	Donor1	beta	beta
human1_lib1.final_cell_0329	Donor1	beta	beta
human1_lib1.final_cell_0330	Donor1	ductal	ductal
human1_lib1.final_cell_0331	Donor1	beta	beta
human1_lib1.final_cell_0332	Donor1	alpha	alpha
human1_lib1.final_cell_0333	Donor1	beta	beta
human1_lib1.final_cell_0334	Donor1	alpha	alpha
human1_lib1.final_cell_0335	Donor1	beta	beta
human1_lib1.final_cell_0336	Donor1	beta	beta
human1_lib1.final_cell_0337	Donor1	delta	delta
human1_lib1.final_cell_0338	Donor1	delta	delta
human1_lib1.final_cell_0339	Donor1	beta	beta
human1_lib1.final_cell_0340	Donor1	beta	beta
human1_lib1.final_cell_0341	Donor1	beta	beta
human1_lib1.final_cell_0342	Donor1	ductal	ductal
human1_lib1.final_cell_0343	Donor1	acinar	acinar
human1_lib1.final_cell_0344	Donor1	beta	beta
human1_lib1.final_cell_0345	Donor1	alpha	alpha
human1_lib1.final_cell_0346	Donor1	beta	beta
human1_lib1.final_cell_0347	Donor1	beta	beta
human1_lib1.final_cell_0348	Donor1	alpha	alpha
human1_lib1.final_cell_0349	Donor1	beta	beta
human1_lib1.final_cell_0350	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0351	Donor1	beta	beta
human1_lib1.final_cell_0352	Donor1	gamma	gamma
human1_lib1.final_cell_0353	Donor1	beta	beta
human1_lib1.final_cell_0354	Donor1	gamma	gamma
human1_lib1.final_cell_0355	Donor1	endothelial	endothelial
human1_lib1.final_cell_0356	Donor1	beta	beta
human1_lib1.final_cell_0357	Donor1	alpha	alpha
human1_lib1.final_cell_0358	Donor1	schwann	schwann
human1_lib1.final_cell_0359	Donor1	beta	beta
human1_lib1.final_cell_0360	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0361	Donor1	endothelial	endothelial
human1_lib1.final_cell_0362	Donor1	gamma	gamma
human1_lib1.final_cell_0363	Donor1	beta	beta
human1_lib1.final_cell_0364	Donor1	beta	beta
human1_lib1.final_cell_0365	Donor1	alpha	alpha
human1_lib1.final_cell_0366	Donor1	alpha	alpha
human1_lib1.final_cell_0367	Donor1	gamma	gamma
human1_lib1.final_cell_0368	Donor1	beta	beta
human1_lib1.final_cell_0369	Donor1	beta	beta
human1_lib1.final_cell_0370	Donor1	delta	delta
human1_lib1.final_cell_0371	Donor1	acinar	acinar
human1_lib1.final_cell_0372	Donor1	acinar	acinar
human1_lib1.final_cell_0373	Donor1	gamma	gamma
human1_lib1.final_cell_0374	Donor1	ductal	ductal
human1_lib1.final_cell_0375	Donor1	ductal	ductal
human1_lib1.final_cell_0376	Donor1	endothelial	endothelial
human1_lib1.final_cell_0377	Donor1	delta	delta
human1_lib1.final_cell_0378	Donor1	beta	beta
human1_lib1.final_cell_0379	Donor1	beta	beta
human1_lib1.final_cell_0380	Donor1	endothelial	endothelial
human1_lib1.final_cell_0381	Donor1	alpha	alpha
human1_lib1.final_cell_0382	Donor1	acinar	acinar
human1_lib1.final_cell_0383	Donor1	endothelial	endothelial
human1_lib1.final_cell_0384	Donor1	endothelial	endothelial
human1_lib1.final_cell_0385	Donor1	alpha	alpha
human1_lib1.final_cell_0386	Donor1	beta	beta
human1_lib1.final_cell_0387	Donor1	beta	beta
human1_lib1.final_cell_0388	Donor1	gamma	gamma
human1_lib1.final_cell_0389	Donor1	beta	beta
human1_lib1.final_cell_0390	Donor1	alpha	alpha
human1_lib1.final_cell_0391	Donor1	beta	beta
human1_lib1.final_cell_0392	Donor1	beta	beta
human1_lib1.final_cell_0393	Donor1	beta	beta
human1_lib1.final_cell_0394	Donor1	beta	beta
human1_lib1.final_cell_0395	Donor1	beta	beta
human1_lib1.final_cell_0396	Donor1	delta	delta
human1_lib1.final_cell_0397	Donor1	beta	beta
human1_lib1.final_cell_0398	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0399	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0400	Donor1	beta	beta
human1_lib1.final_cell_0401	Donor1	alpha	alpha
human1_lib1.final_cell_0402	Donor1	beta	beta
human1_lib1.final_cell_0403	Donor1	gamma	gamma
human1_lib1.final_cell_0404	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0405	Donor1	beta	beta
human1_lib1.final_cell_0406	Donor1	alpha	alpha
human1_lib1.final_cell_0407	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0408	Donor1	endothelial	endothelial
human1_lib1.final_cell_0409	Donor1	beta	beta
human1_lib1.final_cell_0410	Donor1	ductal	ductal
human1_lib1.final_cell_0411	Donor1	endothelial	endothelial
human1_lib1.final_cell_0412	Donor1	ductal	ductal
human1_lib1.final_cell_0413	Donor1	acinar	acinar
human1_lib1.final_cell_0414	Donor1	alpha	alpha
human1_lib1.final_cell_0415	Donor1	delta	delta
human1_lib1.final_cell_0416	Donor1	beta	beta
human1_lib1.final_cell_0417	Donor1	macrophage	macrophage
human1_lib1.final_cell_0418	Donor1	ductal	ductal
human1_lib1.final_cell_0419	Donor1	endothelial	endothelial
human1_lib1.final_cell_0420	Donor1	endothelial	endothelial
human1_lib1.final_cell_0421	Donor1	gamma	gamma
human1_lib1.final_cell_0422	Donor1	endothelial	endothelial
human1_lib1.final_cell_0423	Donor1	endothelial	endothelial
human1_lib1.final_cell_0424	Donor1	beta	beta
human1_lib1.final_cell_0425	Donor1	beta	beta
human1_lib1.final_cell_0426	Donor1	gamma	gamma
human1_lib1.final_cell_0427	Donor1	beta	beta
human1_lib1.final_cell_0428	Donor1	mast	mast
human1_lib1.final_cell_0429	Donor1	beta	beta
human1_lib1.final_cell_0430	Donor1	endothelial	endothelial
human1_lib1.final_cell_0431	Donor1	gamma	gamma
human1_lib1.final_cell_0432	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0433	Donor1	alpha	alpha
human1_lib1.final_cell_0434	Donor1	beta	beta
human1_lib1.final_cell_0435	Donor1	alpha	alpha
human1_lib1.final_cell_0436	Donor1	acinar	acinar
human1_lib1.final_cell_0437	Donor1	ductal	ductal
human1_lib1.final_cell_0438	Donor1	beta	beta
human1_lib1.final_cell_0439	Donor1	beta	beta
human1_lib1.final_cell_0440	Donor1	ductal	ductal
human1_lib1.final_cell_0441	Donor1	beta	beta
human1_lib1.final_cell_0442	Donor1	beta	beta
human1_lib1.final_cell_0443	Donor1	ductal	ductal
human1_lib1.final_cell_0444	Donor1	acinar	acinar
human1_lib1.final_cell_0445	Donor1	endothelial	endothelial
human1_lib1.final_cell_0446	Donor1	beta	beta
human1_lib1.final_cell_0447	Donor1	beta	beta
human1_lib1.final_cell_0448	Donor1	beta	beta
human1_lib1.final_cell_0449	Donor1	ductal	ductal
human1_lib1.final_cell_0450	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0451	Donor1	beta	beta
human1_lib1.final_cell_0452	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0453	Donor1	acinar	acinar
human1_lib1.final_cell_0454	Donor1	gamma	gamma
human1_lib1.final_cell_0455	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0456	Donor1	endothelial	endothelial
human1_lib1.final_cell_0457	Donor1	endothelial	endothelial
human1_lib1.final_cell_0458	Donor1	alpha	alpha
human1_lib1.final_cell_0459	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0460	Donor1	beta	beta
human1_lib1.final_cell_0461	Donor1	acinar	acinar
human1_lib1.final_cell_0462	Donor1	beta	beta
human1_lib1.final_cell_0463	Donor1	endothelial	endothelial
human1_lib1.final_cell_0464	Donor1	endothelial	endothelial
human1_lib1.final_cell_0465	Donor1	beta	beta
human1_lib1.final_cell_0466	Donor1	acinar	acinar
human1_lib1.final_cell_0467	Donor1	delta	delta
human1_lib1.final_cell_0468	Donor1	beta	beta
human1_lib1.final_cell_0469	Donor1	beta	beta
human1_lib1.final_cell_0470	Donor1	beta	beta
human1_lib1.final_cell_0471	Donor1	beta	beta
human1_lib1.final_cell_0472	Donor1	beta	beta
human1_lib1.final_cell_0473	Donor1	beta	beta
human1_lib1.final_cell_0474	Donor1	beta	beta
human1_lib1.final_cell_0475	Donor1	beta	beta
human1_lib1.final_cell_0476	Donor1	gamma	gamma
human1_lib1.final_cell_0477	Donor1	ductal	ductal
human1_lib1.final_cell_0478	Donor1	beta	beta
human1_lib1.final_cell_0479	Donor1	gamma	gamma
human1_lib1.final_cell_0480	Donor1	beta	beta
human1_lib1.final_cell_0481	Donor1	delta	delta
human1_lib1.final_cell_0482	Donor1	beta	beta
human1_lib1.final_cell_0483	Donor1	beta	beta
human1_lib1.final_cell_0484	Donor1	gamma	gamma
human1_lib1.final_cell_0485	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0486	Donor1	delta	delta
human1_lib1.final_cell_0487	Donor1	beta	beta
human1_lib1.final_cell_0488	Donor1	delta	delta
human1_lib1.final_cell_0489	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0490	Donor1	delta	delta
human1_lib1.final_cell_0491	Donor1	beta	beta
human1_lib1.final_cell_0492	Donor1	alpha	alpha
human1_lib1.final_cell_0493	Donor1	delta	delta
human1_lib1.final_cell_0494	Donor1	alpha	alpha
human1_lib1.final_cell_0495	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0496	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0497	Donor1	beta	beta
human1_lib1.final_cell_0498	Donor1	endothelial	endothelial
human1_lib1.final_cell_0499	Donor1	endothelial	endothelial
human1_lib1.final_cell_0500	Donor1	activated_stellate	activated_stellate
human1_lib1.final_cell_0501	Donor1	beta	beta
human1_lib1.final_cell_0502	Donor1	alpha	alpha
human1_lib1.final_cell_0503	Donor1	delta	delta
human1_lib1.final_cell_0504	Donor1	beta	beta
human1_lib1.final_cell_0505	Donor1	endothelial	endothelial
human1_lib1.final_cell_0506	Donor1	alpha	alpha
human1_lib1.final_cell_0507	Donor1	quiescent_stellate	quiescent_stellate
human1_lib1.final_cell_0508	Donor1	beta	beta
human1_lib1.final_cell_0509	Donor1	endothelial	endothelial
human1_lib1.final_cell_0510	Donor1	activated_stellate	activated_stellate
