Barcode	Origi	Set
human1_lib1.final_cell_0061	ductal	Donor1
human1_lib1.final_cell_0062	alpha	Donor1
human1_lib1.final_cell_0063	beta	Donor1
human1_lib1.final_cell_0064	ductal	Donor1
human1_lib1.final_cell_0065	ductal	Donor1
human1_lib1.final_cell_0066	acinar	Donor1
human1_lib1.final_cell_0067	alpha	Donor1
human1_lib1.final_cell_0068	beta	Donor1
human1_lib1.final_cell_0069	delta	Donor1
human1_lib1.final_cell_0070	alpha	Donor1
human1_lib1.final_cell_0071	beta	Donor1
human1_lib1.final_cell_0072	beta	Donor1
human1_lib1.final_cell_0073	beta	Donor1
human1_lib1.final_cell_0074	delta	Donor1
human1_lib1.final_cell_0075	beta	Donor1
human1_lib1.final_cell_0076	beta	Donor1
human1_lib1.final_cell_0077	delta	Donor1
human1_lib1.final_cell_0078	beta	Donor1
human1_lib1.final_cell_0079	beta	Donor1
human1_lib1.final_cell_0080	beta	Donor1
human1_lib1.final_cell_0081	beta	Donor1
human1_lib1.final_cell_0082	beta	Donor1
human1_lib1.final_cell_0083	beta	Donor1
human1_lib1.final_cell_0084	acinar	Donor1
human1_lib1.final_cell_0085	activated_stellate	Donor1
human1_lib1.final_cell_0086	delta	Donor1
human1_lib1.final_cell_0087	delta	Donor1
human1_lib1.final_cell_0088	beta	Donor1
human1_lib1.final_cell_0089	beta	Donor1
human1_lib1.final_cell_0090	beta	Donor1
human1_lib1.final_cell_0091	beta	Donor1
human1_lib1.final_cell_0092	beta	Donor1
human1_lib1.final_cell_0093	beta	Donor1
human1_lib1.final_cell_0094	beta	Donor1
human1_lib1.final_cell_0095	beta	Donor1
human1_lib1.final_cell_0096	beta	Donor1
human1_lib1.final_cell_0097	beta	Donor1
human1_lib1.final_cell_0098	delta	Donor1
human1_lib1.final_cell_0099	delta	Donor1
human1_lib1.final_cell_0100	beta	Donor1
human1_lib1.final_cell_0101	delta	Donor1
human1_lib1.final_cell_0102	alpha	Donor1
human1_lib1.final_cell_0103	alpha	Donor1
human1_lib1.final_cell_0104	delta	Donor1
human1_lib1.final_cell_0105	beta	Donor1
human1_lib1.final_cell_0106	beta	Donor1
human1_lib1.final_cell_0107	beta	Donor1
human1_lib1.final_cell_0108	beta	Donor1
human1_lib1.final_cell_0109	acinar	Donor1
human1_lib1.final_cell_0110	delta	Donor1
human1_lib1.final_cell_0111	beta	Donor1
human1_lib1.final_cell_0112	beta	Donor1
human1_lib1.final_cell_0113	delta	Donor1
human1_lib1.final_cell_0114	beta	Donor1
human1_lib1.final_cell_0115	beta	Donor1
human1_lib1.final_cell_0116	beta	Donor1
human1_lib1.final_cell_0117	delta	Donor1
human1_lib1.final_cell_0118	beta	Donor1
human1_lib1.final_cell_0119	delta	Donor1
human1_lib1.final_cell_0120	beta	Donor1
human1_lib1.final_cell_0121	beta	Donor1
human1_lib1.final_cell_0122	beta	Donor1
human1_lib1.final_cell_0123	epsilon	Donor1
human1_lib1.final_cell_0124	beta	Donor1
human1_lib1.final_cell_0125	beta	Donor1
human1_lib1.final_cell_0126	beta	Donor1
human1_lib1.final_cell_0127	delta	Donor1
human1_lib1.final_cell_0128	beta	Donor1
human1_lib1.final_cell_0129	delta	Donor1
human1_lib1.final_cell_0130	beta	Donor1
human1_lib1.final_cell_0131	alpha	Donor1
human1_lib1.final_cell_0132	alpha	Donor1
human1_lib1.final_cell_0133	beta	Donor1
human1_lib1.final_cell_0134	acinar	Donor1
human1_lib1.final_cell_0135	alpha	Donor1
human1_lib1.final_cell_0136	beta	Donor1
human1_lib1.final_cell_0137	beta	Donor1
human1_lib1.final_cell_0138	alpha	Donor1
human1_lib1.final_cell_0139	beta	Donor1
human1_lib1.final_cell_0140	delta	Donor1
human1_lib1.final_cell_0141	beta	Donor1
human1_lib1.final_cell_0142	beta	Donor1
human1_lib1.final_cell_0143	beta	Donor1
human1_lib1.final_cell_0144	beta	Donor1
human1_lib1.final_cell_0145	beta	Donor1
human1_lib1.final_cell_0146	delta	Donor1
human1_lib1.final_cell_0147	beta	Donor1
human1_lib1.final_cell_0148	ductal	Donor1
human1_lib1.final_cell_0149	ductal	Donor1
human1_lib1.final_cell_0150	beta	Donor1
human1_lib1.final_cell_0151	beta	Donor1
human1_lib1.final_cell_0152	beta	Donor1
human1_lib1.final_cell_0153	beta	Donor1
human1_lib1.final_cell_0154	delta	Donor1
human1_lib1.final_cell_0155	beta	Donor1
human1_lib1.final_cell_0156	activated_stellate	Donor1
human1_lib1.final_cell_0157	beta	Donor1
human1_lib1.final_cell_0158	beta	Donor1
human1_lib1.final_cell_0159	alpha	Donor1
human1_lib1.final_cell_0160	beta	Donor1
human1_lib1.final_cell_0161	alpha	Donor1
human1_lib1.final_cell_0162	beta	Donor1
human1_lib1.final_cell_0163	gamma	Donor1
human1_lib1.final_cell_0164	beta	Donor1
human1_lib1.final_cell_0165	beta	Donor1
human1_lib1.final_cell_0166	beta	Donor1
human1_lib1.final_cell_0167	beta	Donor1
human1_lib1.final_cell_0168	beta	Donor1
human1_lib1.final_cell_0169	beta	Donor1
human1_lib1.final_cell_0170	beta	Donor1
human1_lib1.final_cell_0171	acinar	Donor1
human1_lib1.final_cell_0172	beta	Donor1
human1_lib1.final_cell_0173	acinar	Donor1
human1_lib1.final_cell_0174	beta	Donor1
human1_lib1.final_cell_0175	beta	Donor1
human1_lib1.final_cell_0176	beta	Donor1
human1_lib1.final_cell_0177	acinar	Donor1
human1_lib1.final_cell_0178	delta	Donor1
human1_lib1.final_cell_0179	beta	Donor1
human1_lib1.final_cell_0180	delta	Donor1
human1_lib1.final_cell_0181	beta	Donor1
human1_lib1.final_cell_0182	acinar	Donor1
human1_lib1.final_cell_0183	alpha	Donor1
human1_lib1.final_cell_0184	beta	Donor1
human1_lib1.final_cell_0185	alpha	Donor1
human1_lib1.final_cell_0186	beta	Donor1
human1_lib1.final_cell_0187	alpha	Donor1
human1_lib1.final_cell_0188	endothelial	Donor1
human1_lib1.final_cell_0189	beta	Donor1
human1_lib1.final_cell_0190	beta	Donor1
human1_lib1.final_cell_0191	alpha	Donor1
human1_lib1.final_cell_0192	delta	Donor1
human1_lib1.final_cell_0193	beta	Donor1
human1_lib1.final_cell_0194	beta	Donor1
human1_lib1.final_cell_0195	delta	Donor1
human1_lib1.final_cell_0196	beta	Donor1
human1_lib1.final_cell_0197	gamma	Donor1
human1_lib1.final_cell_0198	alpha	Donor1
human1_lib1.final_cell_0199	beta	Donor1
human1_lib1.final_cell_0200	beta	Donor1
human1_lib1.final_cell_0201	delta	Donor1
human1_lib1.final_cell_0202	alpha	Donor1
human1_lib1.final_cell_0203	ductal	Donor1
human1_lib1.final_cell_0204	beta	Donor1
human1_lib1.final_cell_0205	alpha	Donor1
human1_lib1.final_cell_0206	beta	Donor1
human1_lib1.final_cell_0207	ductal	Donor1
human1_lib1.final_cell_0208	alpha	Donor1
human1_lib1.final_cell_0209	ductal	Donor1
human1_lib1.final_cell_0210	beta	Donor1
human1_lib1.final_cell_0211	beta	Donor1
human1_lib1.final_cell_0212	alpha	Donor1
human1_lib1.final_cell_0213	beta	Donor1
human1_lib1.final_cell_0214	beta	Donor1
human1_lib1.final_cell_0215	quiescent_stellate	Donor1
human1_lib1.final_cell_0216	ductal	Donor1
human1_lib1.final_cell_0217	ductal	Donor1
human1_lib1.final_cell_0218	endothelial	Donor1
human1_lib1.final_cell_0219	activated_stellate	Donor1
human1_lib1.final_cell_0220	beta	Donor1
human1_lib1.final_cell_0221	delta	Donor1
human1_lib1.final_cell_0222	gamma	Donor1
human1_lib1.final_cell_0223	beta	Donor1
human1_lib1.final_cell_0224	beta	Donor1
human1_lib1.final_cell_0225	beta	Donor1
human1_lib1.final_cell_0226	alpha	Donor1
human1_lib1.final_cell_0227	beta	Donor1
human1_lib1.final_cell_0228	beta	Donor1
human1_lib1.final_cell_0229	delta	Donor1
human1_lib1.final_cell_0230	ductal	Donor1
human1_lib1.final_cell_0231	beta	Donor1
human1_lib1.final_cell_0232	delta	Donor1
human1_lib1.final_cell_0233	delta	Donor1
human1_lib1.final_cell_0234	beta	Donor1
human1_lib1.final_cell_0235	delta	Donor1
human1_lib1.final_cell_0236	beta	Donor1
human1_lib1.final_cell_0237	activated_stellate	Donor1
human1_lib1.final_cell_0238	beta	Donor1
human1_lib1.final_cell_0239	beta	Donor1
human1_lib1.final_cell_0240	delta	Donor1
human1_lib1.final_cell_0241	beta	Donor1
human1_lib1.final_cell_0242	quiescent_stellate	Donor1
human1_lib1.final_cell_0243	beta	Donor1
human1_lib1.final_cell_0244	acinar	Donor1
human1_lib1.final_cell_0245	alpha	Donor1
human1_lib1.final_cell_0246	delta	Donor1
human1_lib1.final_cell_0247	beta	Donor1
human1_lib1.final_cell_0248	alpha	Donor1
human1_lib1.final_cell_0249	beta	Donor1
human1_lib1.final_cell_0250	endothelial	Donor1
human1_lib1.final_cell_0251	delta	Donor1
human1_lib1.final_cell_0252	delta	Donor1
human1_lib1.final_cell_0253	beta	Donor1
human1_lib1.final_cell_0254	beta	Donor1
human1_lib1.final_cell_0255	delta	Donor1
human1_lib1.final_cell_0256	gamma	Donor1
human1_lib1.final_cell_0257	alpha	Donor1
human1_lib1.final_cell_0258	beta	Donor1
human1_lib1.final_cell_0259	beta	Donor1
human1_lib1.final_cell_0260	beta	Donor1
human1_lib1.final_cell_0261	ductal	Donor1
human1_lib1.final_cell_0262	delta	Donor1
human1_lib1.final_cell_0263	alpha	Donor1
human1_lib1.final_cell_0264	beta	Donor1
human1_lib1.final_cell_0265	gamma	Donor1
human1_lib1.final_cell_0266	beta	Donor1
human1_lib1.final_cell_0267	beta	Donor1
human1_lib1.final_cell_0268	beta	Donor1
human1_lib1.final_cell_0269	quiescent_stellate	Donor1
human1_lib1.final_cell_0270	alpha	Donor1
human1_lib1.final_cell_0271	delta	Donor1
human1_lib1.final_cell_0272	alpha	Donor1
human1_lib1.final_cell_0273	endothelial	Donor1
human1_lib1.final_cell_0274	alpha	Donor1
human1_lib1.final_cell_0275	delta	Donor1
human1_lib1.final_cell_0276	beta	Donor1
human1_lib1.final_cell_0277	gamma	Donor1
human1_lib1.final_cell_0278	ductal	Donor1
human1_lib1.final_cell_0279	alpha	Donor1
human1_lib1.final_cell_0280	alpha	Donor1
human1_lib1.final_cell_0281	delta	Donor1
human1_lib1.final_cell_0282	beta	Donor1
human1_lib1.final_cell_0283	beta	Donor1
human1_lib1.final_cell_0284	ductal	Donor1
human1_lib1.final_cell_0285	alpha	Donor1
human1_lib1.final_cell_0286	beta	Donor1
human1_lib1.final_cell_0287	delta	Donor1
human1_lib1.final_cell_0288	macrophage	Donor1
human1_lib1.final_cell_0289	endothelial	Donor1
human1_lib1.final_cell_0290	beta	Donor1
human1_lib1.final_cell_0291	beta	Donor1
human1_lib1.final_cell_0292	beta	Donor1
human1_lib1.final_cell_0293	beta	Donor1
human1_lib1.final_cell_0294	beta	Donor1
human1_lib1.final_cell_0295	beta	Donor1
human1_lib1.final_cell_0296	beta	Donor1
human1_lib1.final_cell_0297	beta	Donor1
human1_lib1.final_cell_0298	beta	Donor1
human1_lib1.final_cell_0299	beta	Donor1
human1_lib1.final_cell_0300	beta	Donor1
human1_lib1.final_cell_0301	gamma	Donor1
human1_lib1.final_cell_0302	endothelial	Donor1
human1_lib1.final_cell_0303	beta	Donor1
human1_lib1.final_cell_0304	beta	Donor1
human1_lib1.final_cell_0305	beta	Donor1
human1_lib1.final_cell_0306	delta	Donor1
human1_lib1.final_cell_0307	beta	Donor1
human1_lib1.final_cell_0308	gamma	Donor1
human1_lib1.final_cell_0309	epsilon	Donor1
human1_lib1.final_cell_0310	delta	Donor1
human1_lib1.final_cell_0311	beta	Donor1
human1_lib1.final_cell_0312	beta	Donor1
human1_lib1.final_cell_0313	gamma	Donor1
human1_lib1.final_cell_0314	beta	Donor1
human1_lib1.final_cell_0315	beta	Donor1
human1_lib1.final_cell_0316	beta	Donor1
human1_lib1.final_cell_0317	beta	Donor1
human1_lib1.final_cell_0318	beta	Donor1
human1_lib1.final_cell_0319	endothelial	Donor1
human1_lib1.final_cell_0320	beta	Donor1
human1_lib1.final_cell_0321	delta	Donor1
human1_lib1.final_cell_0322	alpha	Donor1
human1_lib1.final_cell_0323	epsilon	Donor1
human1_lib1.final_cell_0324	alpha	Donor1
human1_lib1.final_cell_0325	quiescent_stellate	Donor1
human1_lib1.final_cell_0326	alpha	Donor1
human1_lib1.final_cell_0327	alpha	Donor1
human1_lib1.final_cell_0328	beta	Donor1
human1_lib1.final_cell_0329	beta	Donor1
human1_lib1.final_cell_0330	ductal	Donor1
human1_lib1.final_cell_0331	beta	Donor1
human1_lib1.final_cell_0332	alpha	Donor1
human1_lib1.final_cell_0333	beta	Donor1
human1_lib1.final_cell_0334	alpha	Donor1
human1_lib1.final_cell_0335	beta	Donor1
human1_lib1.final_cell_0336	beta	Donor1
human1_lib1.final_cell_0337	delta	Donor1
human1_lib1.final_cell_0338	delta	Donor1
human1_lib1.final_cell_0339	beta	Donor1
human1_lib1.final_cell_0340	beta	Donor1
human1_lib1.final_cell_0341	beta	Donor1
human1_lib1.final_cell_0342	ductal	Donor1
human1_lib1.final_cell_0343	acinar	Donor1
human1_lib1.final_cell_0344	beta	Donor1
human1_lib1.final_cell_0345	alpha	Donor1
human1_lib1.final_cell_0346	beta	Donor1
human1_lib1.final_cell_0347	beta	Donor1
human1_lib1.final_cell_0348	alpha	Donor1
human1_lib1.final_cell_0349	beta	Donor1
human1_lib1.final_cell_0350	quiescent_stellate	Donor1
human1_lib1.final_cell_0351	beta	Donor1
human1_lib1.final_cell_0352	gamma	Donor1
human1_lib1.final_cell_0353	beta	Donor1
human1_lib1.final_cell_0354	gamma	Donor1
human1_lib1.final_cell_0355	endothelial	Donor1
human1_lib1.final_cell_0356	beta	Donor1
human1_lib1.final_cell_0357	alpha	Donor1
human1_lib1.final_cell_0358	schwann	Donor1
human1_lib1.final_cell_0359	beta	Donor1
human1_lib1.final_cell_0360	quiescent_stellate	Donor1
human1_lib1.final_cell_0361	endothelial	Donor1
human1_lib1.final_cell_0362	gamma	Donor1
human1_lib1.final_cell_0363	beta	Donor1
human1_lib1.final_cell_0364	beta	Donor1
human1_lib1.final_cell_0365	alpha	Donor1
human1_lib1.final_cell_0366	alpha	Donor1
human1_lib1.final_cell_0367	gamma	Donor1
human1_lib1.final_cell_0368	beta	Donor1
human1_lib1.final_cell_0369	beta	Donor1
human1_lib1.final_cell_0370	delta	Donor1
human1_lib1.final_cell_0371	acinar	Donor1
human1_lib1.final_cell_0372	acinar	Donor1
human1_lib1.final_cell_0373	gamma	Donor1
human1_lib1.final_cell_0374	ductal	Donor1
human1_lib1.final_cell_0375	ductal	Donor1
human1_lib1.final_cell_0376	endothelial	Donor1
human1_lib1.final_cell_0377	delta	Donor1
human1_lib1.final_cell_0378	beta	Donor1
human1_lib1.final_cell_0379	beta	Donor1
human1_lib1.final_cell_0380	endothelial	Donor1
human1_lib1.final_cell_0381	alpha	Donor1
human1_lib1.final_cell_0382	acinar	Donor1
human1_lib1.final_cell_0383	endothelial	Donor1
human1_lib1.final_cell_0384	endothelial	Donor1
human1_lib1.final_cell_0385	alpha	Donor1
human1_lib1.final_cell_0386	beta	Donor1
human1_lib1.final_cell_0387	beta	Donor1
human1_lib1.final_cell_0388	gamma	Donor1
human1_lib1.final_cell_0389	beta	Donor1
human1_lib1.final_cell_0390	alpha	Donor1
human1_lib1.final_cell_0391	beta	Donor1
human1_lib1.final_cell_0392	beta	Donor1
human1_lib1.final_cell_0393	beta	Donor1
human1_lib1.final_cell_0394	beta	Donor1
human1_lib1.final_cell_0395	beta	Donor1
human1_lib1.final_cell_0396	delta	Donor1
human1_lib1.final_cell_0397	beta	Donor1
human1_lib1.final_cell_0398	quiescent_stellate	Donor1
human1_lib1.final_cell_0399	activated_stellate	Donor1
human1_lib1.final_cell_0400	beta	Donor1
human1_lib1.final_cell_0401	alpha	Donor1
human1_lib1.final_cell_0402	beta	Donor1
human1_lib1.final_cell_0403	gamma	Donor1
human1_lib1.final_cell_0404	quiescent_stellate	Donor1
human1_lib1.final_cell_0405	beta	Donor1
human1_lib1.final_cell_0406	alpha	Donor1
human1_lib1.final_cell_0407	quiescent_stellate	Donor1
human1_lib1.final_cell_0408	endothelial	Donor1
human1_lib1.final_cell_0409	beta	Donor1
human1_lib1.final_cell_0410	ductal	Donor1
human1_lib1.final_cell_0411	endothelial	Donor1
human1_lib1.final_cell_0412	ductal	Donor1
human1_lib1.final_cell_0413	acinar	Donor1
human1_lib1.final_cell_0414	alpha	Donor1
human1_lib1.final_cell_0415	delta	Donor1
human1_lib1.final_cell_0416	beta	Donor1
human1_lib1.final_cell_0417	macrophage	Donor1
human1_lib1.final_cell_0418	ductal	Donor1
human1_lib1.final_cell_0419	endothelial	Donor1
human1_lib1.final_cell_0420	endothelial	Donor1
human1_lib1.final_cell_0421	gamma	Donor1
human1_lib1.final_cell_0422	endothelial	Donor1
human1_lib1.final_cell_0423	endothelial	Donor1
human1_lib1.final_cell_0424	beta	Donor1
human1_lib1.final_cell_0425	beta	Donor1
human1_lib1.final_cell_0426	gamma	Donor1
human1_lib1.final_cell_0427	beta	Donor1
human1_lib1.final_cell_0428	mast	Donor1
human1_lib1.final_cell_0429	beta	Donor1
human1_lib1.final_cell_0430	endothelial	Donor1
human1_lib1.final_cell_0431	gamma	Donor1
human1_lib1.final_cell_0432	quiescent_stellate	Donor1
human1_lib1.final_cell_0433	alpha	Donor1
human1_lib1.final_cell_0434	beta	Donor1
human1_lib1.final_cell_0435	alpha	Donor1
human1_lib1.final_cell_0436	acinar	Donor1
human1_lib1.final_cell_0437	ductal	Donor1
human1_lib1.final_cell_0438	beta	Donor1
human1_lib1.final_cell_0439	beta	Donor1
human1_lib1.final_cell_0440	ductal	Donor1
human1_lib1.final_cell_0441	beta	Donor1
human1_lib1.final_cell_0442	beta	Donor1
human1_lib1.final_cell_0443	ductal	Donor1
human1_lib1.final_cell_0444	acinar	Donor1
human1_lib1.final_cell_0445	endothelial	Donor1
human1_lib1.final_cell_0446	beta	Donor1
human1_lib1.final_cell_0447	beta	Donor1
human1_lib1.final_cell_0448	beta	Donor1
human1_lib1.final_cell_0449	ductal	Donor1
human1_lib1.final_cell_0450	activated_stellate	Donor1
human1_lib1.final_cell_0451	beta	Donor1
human1_lib1.final_cell_0452	quiescent_stellate	Donor1
human1_lib1.final_cell_0453	acinar	Donor1
human1_lib1.final_cell_0454	gamma	Donor1
human1_lib1.final_cell_0455	quiescent_stellate	Donor1
human1_lib1.final_cell_0456	endothelial	Donor1
human1_lib1.final_cell_0457	endothelial	Donor1
human1_lib1.final_cell_0458	alpha	Donor1
human1_lib1.final_cell_0459	quiescent_stellate	Donor1
human1_lib1.final_cell_0460	beta	Donor1
human1_lib1.final_cell_0461	acinar	Donor1
human1_lib1.final_cell_0462	beta	Donor1
human1_lib1.final_cell_0463	endothelial	Donor1
human1_lib1.final_cell_0464	endothelial	Donor1
human1_lib1.final_cell_0465	beta	Donor1
human1_lib1.final_cell_0466	acinar	Donor1
human1_lib1.final_cell_0467	delta	Donor1
human1_lib1.final_cell_0468	beta	Donor1
human1_lib1.final_cell_0469	beta	Donor1
human1_lib1.final_cell_0470	beta	Donor1
human1_lib1.final_cell_0471	beta	Donor1
human1_lib1.final_cell_0472	beta	Donor1
human1_lib1.final_cell_0473	beta	Donor1
human1_lib1.final_cell_0474	beta	Donor1
human1_lib1.final_cell_0475	beta	Donor1
human1_lib1.final_cell_0476	gamma	Donor1
human1_lib1.final_cell_0477	ductal	Donor1
human1_lib1.final_cell_0478	beta	Donor1
human1_lib1.final_cell_0479	gamma	Donor1
human1_lib1.final_cell_0480	beta	Donor1
human1_lib1.final_cell_0481	delta	Donor1
human1_lib1.final_cell_0482	beta	Donor1
human1_lib1.final_cell_0483	beta	Donor1
human1_lib1.final_cell_0484	gamma	Donor1
human1_lib1.final_cell_0485	quiescent_stellate	Donor1
human1_lib1.final_cell_0486	delta	Donor1
human1_lib1.final_cell_0487	beta	Donor1
human1_lib1.final_cell_0488	delta	Donor1
human1_lib1.final_cell_0489	quiescent_stellate	Donor1
human1_lib1.final_cell_0490	delta	Donor1
human1_lib1.final_cell_0491	beta	Donor1
human1_lib1.final_cell_0492	alpha	Donor1
human1_lib1.final_cell_0493	delta	Donor1
human1_lib1.final_cell_0494	alpha	Donor1
human1_lib1.final_cell_0495	quiescent_stellate	Donor1
human1_lib1.final_cell_0496	quiescent_stellate	Donor1
human1_lib1.final_cell_0497	beta	Donor1
human1_lib1.final_cell_0498	endothelial	Donor1
human1_lib1.final_cell_0499	endothelial	Donor1
human1_lib1.final_cell_0500	activated_stellate	Donor1
human1_lib1.final_cell_0501	beta	Donor1
human1_lib1.final_cell_0502	alpha	Donor1
human1_lib1.final_cell_0503	delta	Donor1
human1_lib1.final_cell_0504	beta	Donor1
human1_lib1.final_cell_0505	endothelial	Donor1
human1_lib1.final_cell_0506	alpha	Donor1
human1_lib1.final_cell_0507	quiescent_stellate	Donor1
human1_lib1.final_cell_0508	beta	Donor1
human1_lib1.final_cell_0509	endothelial	Donor1
human1_lib1.final_cell_0510	activated_stellate	Donor1
human1_lib1.final_cell_0511	gamma	Donor1
human1_lib1.final_cell_0512	beta	Donor1
human1_lib1.final_cell_0513	quiescent_stellate	Donor1
human1_lib1.final_cell_0514	beta	Donor1
human1_lib1.final_cell_0515	endothelial	Donor1
human1_lib1.final_cell_0516	gamma	Donor1
human1_lib1.final_cell_0517	beta	Donor1
human1_lib1.final_cell_0518	beta	Donor1
human1_lib1.final_cell_0519	alpha	Donor1
human1_lib1.final_cell_0520	endothelial	Donor1
human1_lib1.final_cell_0521	gamma	Donor1
human1_lib1.final_cell_0522	beta	Donor1
human1_lib1.final_cell_0523	beta	Donor1
human1_lib1.final_cell_0524	beta	Donor1
human1_lib1.final_cell_0525	beta	Donor1
human1_lib1.final_cell_0526	endothelial	Donor1
human1_lib1.final_cell_0527	mast	Donor1
human1_lib1.final_cell_0528	beta	Donor1
human1_lib1.final_cell_0529	beta	Donor1
human1_lib1.final_cell_0530	endothelial	Donor1
human1_lib1.final_cell_0531	beta	Donor1
human1_lib1.final_cell_0532	endothelial	Donor1
human1_lib1.final_cell_0533	beta	Donor1
human1_lib1.final_cell_0534	endothelial	Donor1
human1_lib1.final_cell_0535	beta	Donor1
human1_lib1.final_cell_0536	quiescent_stellate	Donor1
human1_lib1.final_cell_0537	endothelial	Donor1
human1_lib1.final_cell_0538	endothelial	Donor1
human1_lib1.final_cell_0539	beta	Donor1
human1_lib1.final_cell_0540	endothelial	Donor1
human1_lib1.final_cell_0541	quiescent_stellate	Donor1
human1_lib1.final_cell_0542	beta	Donor1
human1_lib1.final_cell_0543	alpha	Donor1
human1_lib1.final_cell_0544	ductal	Donor1
human1_lib1.final_cell_0545	endothelial	Donor1
human1_lib1.final_cell_0546	beta	Donor1
human1_lib1.final_cell_0547	beta	Donor1
human1_lib1.final_cell_0548	endothelial	Donor1
human1_lib1.final_cell_0549	beta	Donor1
human1_lib1.final_cell_0550	beta	Donor1
human1_lib1.final_cell_0551	beta	Donor1
human1_lib1.final_cell_0552	endothelial	Donor1
human1_lib1.final_cell_0553	macrophage	Donor1
human1_lib1.final_cell_0554	endothelial	Donor1
human1_lib1.final_cell_0555	ductal	Donor1
human1_lib1.final_cell_0556	beta	Donor1
human1_lib1.final_cell_0557	ductal	Donor1
human1_lib1.final_cell_0558	endothelial	Donor1
human1_lib1.final_cell_0559	quiescent_stellate	Donor1
human1_lib1.final_cell_0560	beta	Donor1
human1_lib1.final_cell_0561	endothelial	Donor1
human1_lib1.final_cell_0562	endothelial	Donor1
human1_lib1.final_cell_0563	beta	Donor1
human1_lib1.final_cell_0564	endothelial	Donor1
human1_lib1.final_cell_0565	endothelial	Donor1
human1_lib1.final_cell_0566	alpha	Donor1
human1_lib1.final_cell_0567	ductal	Donor1
human1_lib1.final_cell_0568	beta	Donor1
human1_lib2.final_cell_0002	delta	Donor1
human1_lib2.final_cell_0003	delta	Donor1
human1_lib2.final_cell_0004	acinar	Donor1
human1_lib2.final_cell_0005	acinar	Donor1
human1_lib2.final_cell_0007	acinar	Donor1
human1_lib2.final_cell_0008	delta	Donor1
human1_lib2.final_cell_0009	acinar	Donor1
human1_lib2.final_cell_0010	ductal	Donor1
human1_lib2.final_cell_0011	alpha	Donor1
human1_lib2.final_cell_0012	delta	Donor1
human1_lib2.final_cell_0013	delta	Donor1
human1_lib2.final_cell_0014	delta	Donor1
human1_lib2.final_cell_0015	delta	Donor1
human1_lib2.final_cell_0016	acinar	Donor1
human1_lib2.final_cell_0017	beta	Donor1
human1_lib2.final_cell_0018	acinar	Donor1
human1_lib2.final_cell_0019	endothelial	Donor1
human1_lib2.final_cell_0020	delta	Donor1
human1_lib2.final_cell_0021	beta	Donor1
human1_lib2.final_cell_0022	delta	Donor1
human1_lib2.final_cell_0023	alpha	Donor1
