Barcode	Set	Platform	Type
GSE85241_D28.3_78	GSE85241	CEL-Seq2	delta
GSE85241_D28.3_79	GSE85241	CEL-Seq2	alpha
GSE85241_D28.3_85	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_86	GSE85241	CEL-Seq2	ductal
GSE85241_D28.3_88	GSE85241	CEL-Seq2	EC
GSE85241_D28.3_90	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_91	GSE85241	CEL-Seq2	acinar
GSE85241_D28.3_92	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_1	GSE85241	CEL-Seq2	EC
GSE85241_D28.4_3	GSE85241	CEL-Seq2	delta
GSE85241_D28.4_13	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_14	GSE85241	CEL-Seq2	MC
GSE85241_D28.4_15	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_17	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_22	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_26	GSE85241	CEL-Seq2	PP
GSE85241_D28.4_27	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_28	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_29	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_30	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_31	GSE85241	CEL-Seq2	beta
GSE85241_D28.4_37	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_38	GSE85241	CEL-Seq2	PP
GSE85241_D28.4_39	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_40	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_41	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_43	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_49	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_50	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_51	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_52	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_53	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_54	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_55	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_56	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_61	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_62	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_63	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_64	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_65	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_67	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_73	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_74	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_75	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_76	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_77	GSE85241	CEL-Seq2	beta
GSE85241_D28.4_78	GSE85241	CEL-Seq2	ductal
GSE85241_D28.4_85	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_86	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_87	GSE85241	CEL-Seq2	alpha
GSE85241_D28.4_89	GSE85241	CEL-Seq2	acinar
GSE85241_D28.4_90	GSE85241	CEL-Seq2	PP
GSE85241_D28.4_91	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_1	GSE85241	CEL-Seq2	beta
GSE85241_D28.5_2	GSE85241	CEL-Seq2	PP
GSE85241_D28.5_3	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_4	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_5	GSE85241	CEL-Seq2	beta
GSE85241_D28.5_13	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_14	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_15	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_16	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_17	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_25	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_26	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_27	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_28	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_29	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_30	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_31	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_37	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_38	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_39	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_40	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_41	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_42	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_49	GSE85241	CEL-Seq2	delta
GSE85241_D28.5_50	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_51	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_52	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_53	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_54	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_55	GSE85241	CEL-Seq2	PP
GSE85241_D28.5_56	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_61	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_62	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_63	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_64	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_65	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_66	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_73	GSE85241	CEL-Seq2	beta
GSE85241_D28.5_74	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_75	GSE85241	CEL-Seq2	ductal
GSE85241_D28.5_76	GSE85241	CEL-Seq2	beta
GSE85241_D28.5_77	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_78	GSE85241	CEL-Seq2	acinar
GSE85241_D28.5_85	GSE85241	CEL-Seq2	beta
GSE85241_D28.5_86	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_87	GSE85241	CEL-Seq2	alpha
GSE85241_D28.5_88	GSE85241	CEL-Seq2	MC
GSE85241_D28.5_89	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_1	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_2	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_3	GSE85241	CEL-Seq2	beta
GSE85241_D28.6_4	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_13	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_14	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_15	GSE85241	CEL-Seq2	EC
GSE85241_D28.6_16	GSE85241	CEL-Seq2	ductal
GSE85241_D28.6_17	GSE85241	CEL-Seq2	ductal
GSE85241_D28.6_19	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_26	GSE85241	CEL-Seq2	delta
GSE85241_D28.6_29	GSE85241	CEL-Seq2	beta
GSE85241_D28.6_30	GSE85241	CEL-Seq2	PP
GSE85241_D28.6_37	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_38	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_39	GSE85241	CEL-Seq2	ductal
GSE85241_D28.6_40	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_41	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_42	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_43	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_49	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_50	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_51	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_52	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_53	GSE85241	CEL-Seq2	beta
GSE85241_D28.6_61	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_62	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_63	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_64	GSE85241	CEL-Seq2	MC
GSE85241_D28.6_65	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_66	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_73	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_74	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_75	GSE85241	CEL-Seq2	ductal
GSE85241_D28.6_76	GSE85241	CEL-Seq2	acinar
GSE85241_D28.6_77	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_86	GSE85241	CEL-Seq2	beta
GSE85241_D28.6_88	GSE85241	CEL-Seq2	alpha
GSE85241_D28.6_89	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_1	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_3	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_4	GSE85241	CEL-Seq2	PP
GSE85241_D28.7_5	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_7	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_13	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_15	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_16	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_18	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_19	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_37	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_38	GSE85241	CEL-Seq2	delta
GSE85241_D28.7_39	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_40	GSE85241	CEL-Seq2	beta
GSE85241_D28.7_41	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_42	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_49	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_50	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_51	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_52	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_53	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_56	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_61	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_62	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_63	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_64	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_65	GSE85241	CEL-Seq2	beta
GSE85241_D28.7_66	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_68	GSE85241	CEL-Seq2	MC
GSE85241_D28.7_73	GSE85241	CEL-Seq2	delta
GSE85241_D28.7_74	GSE85241	CEL-Seq2	MC
GSE85241_D28.7_75	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_76	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_77	GSE85241	CEL-Seq2	alpha
GSE85241_D28.7_78	GSE85241	CEL-Seq2	acinar
GSE85241_D28.7_85	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_86	GSE85241	CEL-Seq2	EC
GSE85241_D28.7_87	GSE85241	CEL-Seq2	ductal
GSE85241_D28.7_88	GSE85241	CEL-Seq2	MC
GSE85241_D28.7_89	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_1	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_2	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_4	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_5	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_6	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_14	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_15	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_16	GSE85241	CEL-Seq2	MC
GSE85241_D28.8_18	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_25	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_26	GSE85241	CEL-Seq2	delta
GSE85241_D28.8_27	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_28	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_29	GSE85241	CEL-Seq2	beta
GSE85241_D28.8_31	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_37	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_38	GSE85241	CEL-Seq2	PP
GSE85241_D28.8_39	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_41	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_42	GSE85241	CEL-Seq2	EC
GSE85241_D28.8_49	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_50	GSE85241	CEL-Seq2	EC
GSE85241_D28.8_51	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_53	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_55	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_61	GSE85241	CEL-Seq2	delta
GSE85241_D28.8_62	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_63	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_65	GSE85241	CEL-Seq2	MC
GSE85241_D28.8_66	GSE85241	CEL-Seq2	MC
GSE85241_D28.8_73	GSE85241	CEL-Seq2	MC
GSE85241_D28.8_74	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_75	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_77	GSE85241	CEL-Seq2	acinar
GSE85241_D28.8_78	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_85	GSE85241	CEL-Seq2	beta
GSE85241_D28.8_86	GSE85241	CEL-Seq2	alpha
GSE85241_D28.8_87	GSE85241	CEL-Seq2	ductal
GSE85241_D28.8_88	GSE85241	CEL-Seq2	beta
GSE85241_D28.8_90	GSE85241	CEL-Seq2	ductal
GSE85241_D29.1_1	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_2	GSE85241	CEL-Seq2	EC
GSE85241_D29.1_3	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_4	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_6	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_7	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_8	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_11	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_12	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_13	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_15	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_16	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_17	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_18	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_19	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_20	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_21	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_24	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_26	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_27	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_29	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_30	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_32	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_33	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_34	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_35	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_36	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_37	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_38	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_39	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_40	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_41	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_42	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_44	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_45	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_46	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_47	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_48	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_49	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_50	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_51	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_52	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_53	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_54	GSE85241	CEL-Seq2	ductal
GSE85241_D29.1_55	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_56	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_57	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_58	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_59	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_60	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_61	GSE85241	CEL-Seq2	MC
GSE85241_D29.1_62	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_65	GSE85241	CEL-Seq2	ductal
GSE85241_D29.1_66	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_67	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_68	GSE85241	CEL-Seq2	acinar
GSE85241_D29.1_69	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_70	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_71	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_72	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_73	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_74	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_75	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_76	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_77	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_78	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_79	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_80	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_81	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_82	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_83	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_84	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_86	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_87	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_88	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_89	GSE85241	CEL-Seq2	alpha
GSE85241_D29.1_90	GSE85241	CEL-Seq2	PP
GSE85241_D29.1_92	GSE85241	CEL-Seq2	beta
GSE85241_D29.1_93	GSE85241	CEL-Seq2	delta
GSE85241_D29.1_94	GSE85241	CEL-Seq2	beta
GSE85241_D29.2_1	GSE85241	CEL-Seq2	MC
GSE85241_D29.2_3	GSE85241	CEL-Seq2	alpha
GSE85241_D29.2_4	GSE85241	CEL-Seq2	delta
GSE85241_D29.2_5	GSE85241	CEL-Seq2	beta
GSE85241_D29.2_6	GSE85241	CEL-Seq2	alpha
GSE85241_D29.2_7	GSE85241	CEL-Seq2	ductal
GSE85241_D29.2_8	GSE85241	CEL-Seq2	alpha
GSE85241_D29.2_9	GSE85241	CEL-Seq2	delta
GSE85241_D29.2_10	GSE85241	CEL-Seq2	delta
GSE85241_D29.2_11	GSE85241	CEL-Seq2	beta
GSE85241_D29.2_12	GSE85241	CEL-Seq2	ductal
GSE85241_D29.2_13	GSE85241	CEL-Seq2	alpha
GSE85241_D29.2_15	GSE85241	CEL-Seq2	alpha
